,survived,pclass,age,embarked,home.dest,room,ticket,boat,sex
51,0,0,49.0,3,9,0,0,0,1
52,1,0,31.19,1,238,0,0,90,0
53,0,0,36.0,3,193,0,0,24,1
54,1,0,31.19,3,193,0,0,92,0
55,0,0,46.0,3,5,0,0,0,1
56,1,0,47.0,3,5,0,0,0,0
57,1,0,27.0,3,242,0,0,90,1
58,1,0,31.0,3,242,0,0,90,0
59,1,0,31.19,3,213,0,0,94,0
60,1,0,31.19,1,259,0,0,93,1
61,1,0,31.19,3,310,0,0,92,0
62,0,0,31.19,0,196,0,0,0,1
63,0,0,27.0,1,216,34,0,0,1
64,1,0,26.0,1,216,34,0,89,0
65,0,0,31.19,3,316,0,0,0,1
66,0,0,31.19,3,348,0,0,0,1
67,1,0,64.0,1,190,0,0,83,0
68,0,0,37.0,1,190,0,0,0,1
69,1,0,39.0,1,190,0,0,83,0
70,1,0,55.0,3,238,18,0,87,0
71,0,0,31.19,3,277,0,0,0,1
72,0,0,70.0,3,228,0,0,47,1
73,1,0,69.0,3,228,0,0,90,0
74,1,0,36.0,3,228,0,0,90,0
75,0,0,39.0,1,238,33,0,0,1
76,1,0,38.0,1,238,33,0,89,0
77,1,0,31.19,3,192,0,0,96,1
78,1,0,27.0,3,266,0,0,93,1
79,0,0,31.0,3,231,0,0,0,1
80,1,0,27.0,3,231,0,0,88,0
81,1,0,31.19,1,26,0,0,92,0
82,1,0,31.0,1,59,0,0,88,1
83,1,0,17.0,1,59,0,0,88,0
84,1,0,31.19,3,286,0,0,82,1
85,1,0,31.19,3,286,0,0,91,0
86,1,0,4.0,3,286,0,0,91,1
87,1,0,27.0,1,231,0,0,92,0
88,0,0,50.0,1,89,0,0,68,1
89,1,0,48.0,1,89,0,0,87,0
90,1,0,49.0,1,207,0,7,77,1
91,1,0,48.0,1,207,0,14,77,0
92,0,0,39.0,1,266,0,0,11,1
93,1,0,23.0,1,234,0,0,93,0
94,1,0,53.0,1,49,0,0,89,0
95,0,0,36.0,1,238,0,0,0,0
96,1,0,31.19,1,238,0,0,93,0
97,1,0,31.19,3,50,0,0,91,1
98,0,0,30.0,1,238,0,0,0,1
99,1,0,24.0,3,364,0,0,78,0
100,0,0,19.0,3,364,0,0,0,1
101,1,0,28.0,3,364,0,0,78,0
102,1,0,23.0,3,364,0,0,78,0
103,0,0,64.0,3,364,0,0,0,1
104,1,0,60.0,3,364,0,0,78,0
105,0,0,31.19,3,358,0,0,0,1
106,1,0,49.0,1,238,0,0,90,1
107,1,0,31.19,1,238,0,0,90,0
108,1,0,44.0,3,238,0,0,90,1
109,1,0,22.0,1,371,0,0,90,0
110,1,0,60.0,1,371,0,0,90,1
111,1,0,48.0,1,371,0,0,90,0
112,0,0,37.0,3,289,0,0,0,1
113,1,0,35.0,3,289,0,0,95,0
114,0,0,47.0,3,303,0,0,49,1
115,1,0,22.0,1,238,0,0,93,0
116,1,0,45.0,1,238,0,0,93,0
117,1,0,49.0,1,260,0,0,90,1
118,1,0,31.19,1,260,0,0,90,0
119,0,0,71.0,1,238,0,0,0,1
120,1,0,54.0,3,351,27,6,97,1
121,0,0,38.0,3,364,0,0,15,1
122,1,0,19.0,3,139,21,15,88,0
123,1,0,58.0,3,139,36,15,88,0
124,1,0,45.0,1,238,0,0,93,0
125,1,0,23.0,1,238,0,0,93,1
126,0,0,46.0,1,238,15,18,0,1
127,1,0,25.0,1,50,0,0,90,1
128,1,0,21.0,1,50,0,0,90,0
129,1,0,48.0,1,238,0,0,88,1
130,1,0,49.0,1,238,0,0,88,0
131,0,0,45.0,3,238,32,38,0,1
132,1,0,36.0,3,238,32,38,99,0
133,1,0,31.19,3,183,0,0,88,1
134,0,0,55.0,3,231,0,0,60,1
135,1,0,52.0,3,231,0,0,88,0
136,1,0,24.0,3,238,0,0,93,0
137,0,0,31.19,3,204,0,0,0,1
138,0,0,31.19,3,41,0,0,0,1
139,0,0,31.19,3,201,0,0,0,1
140,1,0,16.0,1,64,7,2,89,0
141,1,0,44.0,1,64,7,2,89,0
142,1,0,51.0,3,163,47,8,78,0
143,0,0,42.0,3,238,0,0,63,1
144,1,0,35.0,3,238,0,0,0,0
145,1,0,35.0,1,170,0,0,85,1
146,1,0,38.0,3,239,37,0,99,1
147,1,0,35.0,3,239,37,0,99,0
148,0,0,31.19,1,238,0,0,83,1
149,0,0,50.0,1,261,26,0,0,0
150,1,0,49.0,3,194,13,4,98,1
151,0,0,46.0,3,29,0,0,72,1
152,0,0,31.19,3,198,0,0,0,1
153,0,0,58.0,1,56,0,0,43,1
154,0,0,41.0,3,297,0,0,0,1
155,1,0,31.19,3,297,0,0,94,0
156,1,0,42.0,3,34,0,0,90,1
157,1,0,40.0,3,34,0,0,90,0
158,0,0,31.19,3,272,0,0,0,1
159,1,0,31.19,3,238,0,0,94,0
160,0,0,31.19,1,64,0,0,0,1
161,0,0,42.0,3,313,0,0,0,1
162,1,0,55.0,1,313,0,0,92,0
163,1,0,50.0,1,259,0,0,95,0
164,1,0,16.0,1,259,0,0,95,0
165,0,0,31.19,0,0,0,0,0,1
166,0,0,29.0,3,301,0,0,9,1
167,1,0,21.0,3,163,47,8,78,0
168,0,0,30.0,3,206,0,0,0,1
169,1,0,15.0,3,311,11,30,87,0
170,0,0,30.0,3,46,0,0,0,1
171,1,0,31.19,1,259,0,0,93,1
172,0,0,31.19,3,238,0,0,0,1
173,1,0,31.19,3,238,0,0,0,0
174,0,0,46.0,1,347,0,0,53,1
175,0,0,54.0,3,97,0,0,26,1
176,1,0,36.0,3,266,0,0,93,1
177,0,0,28.0,1,238,0,0,0,1
178,1,0,31.19,1,238,0,0,92,0
179,0,0,65.0,3,101,0,0,41,1
180,1,0,33.0,2,136,0,0,83,0
181,0,0,44.0,2,124,0,0,35,1
182,1,0,37.0,2,124,0,0,83,0
183,1,0,31.19,1,238,0,0,79,1
184,0,0,55.0,3,231,0,0,0,1
185,0,0,47.0,3,351,0,0,0,1
186,0,0,36.0,1,50,0,0,0,1
187,0,0,58.0,1,191,0,0,7,1
188,1,0,31.0,1,191,0,0,92,0
189,1,0,23.0,1,191,0,0,92,0
190,1,0,19.0,3,238,0,0,90,0
191,0,0,64.0,3,176,0,0,46,1
192,1,0,31.19,1,259,0,0,93,1
193,0,0,64.0,1,275,0,0,37,1
194,1,0,22.0,1,275,0,0,90,0
195,0,0,28.0,0,1,0,0,28,1
196,0,0,31.19,0,24,0,0,0,1
197,0,0,31.19,3,319,0,0,20,1
198,0,0,22.0,3,231,0,0,0,1
199,0,0,31.19,3,177,0,0,0,1
200,1,0,31.19,3,177,0,0,94,0
201,0,0,18.0,1,220,0,0,0,1
202,1,0,17.0,1,220,0,0,94,0
203,1,0,52.0,3,339,20,0,92,1
204,0,0,46.0,3,368,0,0,31,1
205,1,0,56.0,1,234,0,0,93,0
206,0,0,31.19,3,280,0,0,0,1
207,1,0,31.19,1,256,0,19,96,1
208,1,0,43.0,3,311,8,30,87,0
209,0,0,31.0,3,342,0,0,0,1
210,1,0,31.19,3,238,0,0,85,1
211,0,0,31.19,3,290,0,0,0,1
212,1,0,33.0,1,259,2,23,79,0
213,0,0,31.19,1,364,0,0,0,1
214,1,0,27.0,3,199,0,0,94,0
215,0,0,55.0,1,238,0,0,0,1
216,1,0,54.0,1,238,0,0,92,0
217,0,0,31.19,3,198,0,0,4,1
218,0,0,61.0,1,157,0,21,0,1
219,1,0,48.0,1,157,0,21,89,0
220,1,0,18.0,1,157,0,21,89,0
221,1,0,13.0,1,157,0,21,89,1
222,1,0,21.0,1,157,0,21,89,0
223,1,0,31.19,3,222,0,0,88,1
224,1,0,31.19,3,238,0,0,77,1
225,1,0,31.19,1,238,0,0,79,0
226,1,0,34.0,3,238,0,0,93,1
227,1,0,40.0,3,241,21,15,88,0
228,1,0,36.0,3,311,0,0,90,1
229,0,0,50.0,0,100,0,0,0,1
230,1,0,39.0,0,100,0,0,0,0
231,1,0,56.0,0,21,0,0,88,1
232,1,0,28.0,3,236,0,0,93,1
233,0,0,56.0,3,238,0,0,0,1
234,0,0,56.0,1,309,0,0,0,1
235,0,0,24.0,3,164,0,0,0,1
236,1,0,18.0,3,164,0,0,92,0
237,0,0,31.19,3,317,0,0,0,1
238,1,0,24.0,3,229,0,0,93,1
239,1,0,23.0,3,229,0,0,93,0
240,1,0,45.0,1,343,0,0,88,1
241,1,0,40.0,1,343,0,0,88,0
242,1,0,6.0,1,343,0,0,88,1
243,0,0,57.0,1,259,0,0,0,1
244,1,0,31.19,1,259,0,0,92,0
245,1,0,32.0,1,21,0,0,88,1
246,0,0,62.0,3,362,35,0,0,1
247,1,0,54.0,1,244,0,0,77,1
248,1,0,43.0,1,244,0,0,90,0
249,1,0,52.0,0,156,0,0,89,0
250,0,0,31.19,1,127,0,0,0,1
251,1,0,62.0,0,65,0,0,92,0
252,0,0,67.0,3,238,0,12,75,1
253,0,0,63.0,3,238,0,12,0,0
254,0,0,61.0,3,147,0,0,66,1
255,1,0,46.0,3,50,0,0,94,0
256,0,0,52.0,3,238,0,0,0,1
257,1,0,39.0,3,238,0,0,94,0
258,1,0,18.0,3,238,0,0,94,0
259,1,0,48.0,3,200,22,0,90,1
260,1,0,31.19,3,200,22,0,90,0
261,0,0,49.0,1,156,0,0,0,1
262,1,0,39.0,1,156,0,0,89,0
263,1,0,17.0,1,156,0,0,97,1
264,0,0,46.0,1,238,0,0,0,1
265,1,0,31.19,1,238,0,0,99,0
266,1,0,31.0,1,3,0,0,93,1
267,0,0,31.19,1,225,0,0,0,1
268,0,0,61.0,3,50,0,0,40,1
269,0,0,47.0,3,102,0,0,0,1
270,0,0,64.0,1,272,0,0,0,1
271,1,0,60.0,1,272,0,0,90,0
272,0,0,60.0,3,119,0,0,0,1
273,1,0,55.0,1,240,0,0,94,0
274,0,0,54.0,3,52,0,0,0,1
275,0,0,21.0,3,52,0,0,21,1
276,0,0,57.0,3,370,0,0,0,1
277,1,0,45.0,3,370,0,0,94,0
278,1,0,31.0,3,370,31,0,94,0
279,0,0,50.0,1,106,0,0,0,1
280,1,0,50.0,1,106,0,0,89,0
281,0,0,27.0,1,106,0,0,0,1
282,1,0,20.0,3,100,0,0,0,0
283,0,0,51.0,1,128,0,0,0,1
284,0,0,31.19,3,213,0,0,0,1
285,1,0,21.0,1,128,0,0,96,1
286,1,0,31.19,3,213,0,0,99,1
287,0,0,31.19,3,149,0,0,0,1
288,1,0,36.0,1,243,0,0,94,0
289,1,0,31.19,3,0,0,0,0,0
290,1,0,31.19,1,0,0,0,0,0
291,1,0,31.19,1,0,0,24,0,0
292,1,0,31.19,3,0,38,11,0,0
293,1,0,31.19,1,0,39,0,0,0
294,1,0,31.19,1,0,0,0,0,0
295,1,0,31.19,1,0,0,20,0,0
296,1,0,31.19,3,0,40,0,79,0
297,1,0,31.19,3,0,24,0,94,0
298,1,0,31.19,1,238,25,25,89,0
299,0,0,31.19,3,0,28,11,0,1
300,0,0,31.19,1,0,0,0,89,0
301,1,0,31.19,1,0,0,13,0,0
302,0,0,31.19,3,0,6,3,0,1
303,1,0,31.19,1,0,0,0,0,0
304,0,0,31.19,1,0,16,17,0,1
305,0,0,31.19,3,0,0,0,0,1
306,0,0,40.0,3,0,0,5,5,1
307,0,0,31.19,1,0,0,0,0,1
308,1,0,31.19,0,0,0,0,0,0
309,0,0,32.0,1,0,0,0,65,1
310,1,0,31.19,3,0,0,0,87,0
311,1,0,31.19,1,0,0,0,87,0
312,0,0,31.19,1,0,17,0,0,1
313,1,0,31.19,3,0,0,0,94,0
314,0,0,31.19,1,0,0,0,0,0
315,1,0,31.19,3,0,0,0,0,0
316,0,0,33.0,1,0,0,0,36,1
317,0,0,31.19,1,0,30,24,0,1
318,1,0,31.19,1,0,0,0,0,0
319,0,0,31.19,3,0,0,0,0,0
320,0,0,31.19,1,0,0,0,0,0
321,1,0,31.19,1,0,0,0,0,0
322,0,1,30.0,1,284,0,0,0,1
323,1,1,28.0,1,284,0,0,80,0
324,0,1,18.0,3,55,0,0,0,1
325,0,1,31.19,3,86,0,0,0,1
326,0,1,34.0,3,350,0,0,0,1
327,1,1,32.0,3,350,0,0,0,0
328,0,1,57.0,3,356,0,0,0,1
329,0,1,18.0,3,263,0,0,0,1
330,0,1,23.0,3,140,0,0,0,1
331,1,1,36.0,3,43,0,0,0,0
332,0,1,28.0,3,268,0,0,0,1
333,0,1,51.0,3,179,0,0,25,1
334,1,1,32.0,3,249,0,0,0,1
335,1,1,19.0,3,249,0,0,0,0
336,0,1,28.0,3,108,0,0,0,1
337,1,1,36.0,3,146,0,29,79,0
338,1,1,4.0,3,146,0,29,79,0
339,1,1,1.0,3,146,0,29,79,1
340,1,1,12.0,3,146,0,29,82,0
341,1,1,34.0,3,198,45,31,82,1
342,1,1,19.0,3,278,0,0,80,0
343,0,1,23.0,3,306,0,0,0,1
344,0,1,26.0,3,107,0,0,0,1
345,0,1,31.19,3,198,0,0,0,1
346,0,1,27.0,3,189,0,0,0,1
347,1,1,15.0,3,61,0,0,83,0
348,0,1,45.0,3,61,0,0,0,1
349,1,1,40.0,3,61,0,0,83,0
350,1,1,20.0,3,293,0,0,80,0
351,0,1,25.0,3,293,0,0,0,1
352,1,1,36.0,3,292,50,35,95,0
353,0,1,25.0,3,298,0,0,76,1
354,0,1,31.19,3,198,0,0,0,1
355,1,1,42.0,3,238,0,0,0,0
356,1,1,26.0,3,18,0,0,82,1
357,1,1,26.0,3,18,0,0,82,0
358,1,1,0.8333,3,18,0,0,82,1
359,1,1,31.0,3,221,0,0,0,0
360,0,1,31.19,0,24,0,0,0,1
361,0,1,19.0,3,306,0,0,27,1
362,0,1,54.0,3,198,0,0,0,1
363,0,1,44.0,3,198,0,0,0,0
364,0,1,52.0,3,48,0,0,10,1
365,0,1,30.0,3,85,0,0,22,1
366,0,1,30.0,3,85,0,0,0,0
367,1,1,31.19,3,198,0,0,0,0
368,1,1,31.19,3,198,0,0,0,0
369,0,1,29.0,3,114,0,0,0,1
370,1,1,31.19,3,114,0,0,83,0
371,0,1,29.0,3,155,0,0,0,1
372,0,1,27.0,3,158,0,0,0,1
373,1,1,24.0,3,203,0,0,95,1
374,0,1,35.0,3,33,0,0,0,1
375,1,1,31.0,3,33,0,0,83,0
376,1,1,8.0,3,33,0,0,83,0
377,0,1,22.0,3,262,52,0,83,0
378,0,1,30.0,3,276,0,0,0,0
379,0,1,31.19,3,345,0,0,0,0
380,0,1,20.0,3,263,0,0,0,1
381,0,1,31.19,0,24,0,0,0,1
382,0,1,21.0,3,219,0,0,0,1
383,1,1,49.0,3,307,0,0,0,0
384,1,1,8.0,3,307,0,0,0,1
385,1,1,28.0,3,208,0,0,82,0
386,0,1,18.0,3,0,0,0,0,1
387,0,1,31.19,0,274,0,0,0,1
388,0,1,28.0,1,218,0,0,56,1
389,1,1,22.0,1,218,0,0,0,0
390,0,1,25.0,3,141,0,0,0,1
391,0,1,18.0,3,237,0,0,0,1
392,1,1,32.0,3,295,0,0,0,0
393,1,1,18.0,3,295,0,0,0,0
394,0,1,31.19,3,160,0,0,0,1
395,0,1,42.0,3,137,0,36,0,1
396,1,1,34.0,3,137,0,36,0,0
397,1,1,8.0,3,137,0,36,0,1
398,1,1,31.19,1,19,0,0,80,0
399,1,1,31.19,1,19,0,0,80,0
400,0,1,23.0,3,110,0,0,0,1
401,0,1,21.0,3,133,0,0,0,1
402,0,1,19.0,3,252,0,0,0,1
403,0,1,31.19,3,112,0,0,51,1
404,1,1,31.19,0,0,0,0,0,0
405,0,1,31.19,3,84,0,0,0,1
406,0,1,38.0,3,278,0,27,38,1
407,0,1,31.19,0,24,0,0,0,1
408,0,1,38.0,3,180,0,0,0,0
409,0,1,35.0,3,195,0,0,61,1
410,0,1,35.0,3,82,0,0,0,1
411,0,1,38.0,3,82,0,0,0,1
412,1,1,24.0,3,50,0,0,0,0
413,0,1,16.0,3,195,0,0,0,1
414,0,1,26.0,3,141,0,0,0,1
415,0,1,45.0,3,79,0,0,0,1
416,0,1,24.0,3,81,0,0,0,1
417,0,1,21.0,3,81,0,0,0,1
418,0,1,22.0,3,357,0,0,57,1
419,0,1,31.19,3,66,0,0,0,1
420,0,1,34.0,3,347,0,0,0,1
421,0,1,30.0,3,0,0,0,59,1
422,0,1,50.0,3,48,0,0,29,1
423,0,1,30.0,3,10,0,0,70,1
424,1,1,23.0,3,94,0,0,0,0
425,1,1,1.0,3,94,0,0,0,1
426,0,1,44.0,3,291,0,33,62,1
427,0,1,28.0,3,92,0,0,0,1
428,1,1,6.0,3,92,0,0,79,0
429,1,1,30.0,3,198,0,0,0,1
430,0,1,31.19,3,349,0,0,0,1
431,0,1,43.0,3,165,0,9,0,1
432,1,1,45.0,3,165,0,9,83,0
433,1,1,7.0,3,165,0,9,83,0
434,1,1,24.0,3,294,0,0,95,0
435,1,1,24.0,3,294,0,0,95,0
436,0,1,49.0,3,294,0,0,0,1
437,1,1,48.0,3,294,0,0,95,0
438,1,1,31.19,3,169,0,0,82,0
439,0,1,34.0,3,354,0,0,42,1
440,0,1,32.0,3,354,0,0,0,1
441,0,1,21.0,3,354,0,0,0,1
442,0,1,18.0,3,186,0,0,0,0
443,1,1,53.0,3,80,0,0,89,0
444,0,1,23.0,3,80,0,0,0,1
445,1,1,21.0,3,80,0,0,89,0
446,0,1,31.19,3,96,0,0,0,1
447,0,1,52.0,3,295,0,0,17,1
448,0,1,42.0,3,113,0,0,0,1
449,1,1,36.0,3,113,0,0,0,0
450,0,1,21.0,3,237,0,0,0,1
451,1,1,41.0,3,338,0,0,82,1
452,0,1,31.19,3,327,0,0,0,1
453,0,1,31.19,3,327,0,0,0,0
454,0,1,33.0,3,266,0,0,0,1
455,1,1,17.0,3,140,0,0,0,0
456,0,1,31.19,3,198,0,0,0,1
457,1,1,31.19,3,198,0,0,0,0
458,0,1,31.19,3,247,0,0,0,1
459,0,1,31.19,3,141,0,0,0,1
460,0,1,31.19,3,141,0,0,0,1
461,0,1,31.19,3,308,0,0,0,1
462,1,1,23.0,1,238,0,0,0,0
463,0,1,34.0,3,233,0,0,50,1
464,1,1,31.19,3,233,0,0,0,0
465,0,1,22.0,3,168,0,0,0,0
466,0,1,31.19,2,0,0,0,0,1
467,1,1,31.19,2,151,48,0,78,0
468,1,1,45.0,3,206,0,0,0,0
469,0,1,31.19,2,131,0,0,0,1
470,0,1,31.19,0,24,0,0,0,1
471,0,1,31.0,3,321,0,0,19,1
472,0,1,30.0,3,229,0,0,0,1
473,0,1,26.0,3,229,0,0,0,0
474,0,1,31.19,2,0,0,0,0,1
475,1,1,34.0,3,64,52,0,84,0
476,0,1,26.0,1,257,0,0,0,1
477,1,1,22.0,1,257,0,0,0,0
478,1,1,1.0,1,257,0,0,0,0
479,1,1,3.0,1,257,0,0,0,0
480,1,1,31.19,1,31,0,0,0,0
481,1,1,31.19,3,202,0,0,79,0
482,0,1,31.19,1,231,0,0,0,1
483,0,1,25.0,3,0,0,0,3,1
484,0,1,31.19,2,0,0,0,0,1
485,0,1,48.0,3,360,0,0,6,1
486,1,1,31.19,3,360,0,0,83,0
487,0,1,57.0,3,296,51,0,67,0
488,0,1,31.19,1,255,0,0,0,1
489,0,1,31.19,1,258,0,0,0,1
490,1,1,31.19,1,258,0,0,0,0
491,1,1,2.0,1,258,0,0,0,1
492,0,1,31.19,1,238,0,0,0,1
493,0,1,27.0,3,368,0,0,0,1
494,1,1,19.0,3,367,0,0,0,0
495,0,1,30.0,3,304,0,0,0,1
496,0,1,20.0,3,359,0,0,0,1
497,0,1,45.0,3,328,0,0,33,1
498,0,1,31.19,3,287,0,0,0,1
499,0,1,46.0,3,278,0,0,0,1
500,1,1,41.0,3,109,0,0,81,0
501,1,1,13.0,3,109,0,0,81,0
502,1,1,19.0,3,63,0,0,97,1
503,0,1,30.0,3,153,0,0,0,1
504,0,1,48.0,3,78,0,0,48,1
505,0,1,71.0,3,142,0,0,0,1
506,0,1,54.0,3,126,0,0,0,1
507,0,1,31.19,3,265,0,0,0,1
508,0,1,31.19,3,148,0,0,0,1
509,0,1,64.0,2,60,0,0,0,1
510,0,1,32.0,1,238,0,0,64,1
511,1,1,18.0,1,238,0,0,0,0
512,1,1,2.0,3,245,0,28,99,1
513,0,1,32.0,3,245,0,28,18,1
514,1,1,3.0,3,245,0,28,99,1
515,0,1,26.0,3,34,0,0,0,1
516,0,1,19.0,3,83,0,0,1,1
517,0,1,31.19,3,130,0,0,52,1
518,1,1,20.0,1,75,44,0,93,1
519,1,1,29.0,3,123,52,0,79,0
520,0,1,39.0,3,226,0,0,0,1
521,1,1,22.0,3,271,0,0,0,1
522,1,1,31.19,1,300,0,0,0,1
523,0,1,24.0,3,150,0,0,0,1
524,1,1,31.19,1,300,0,0,0,1
525,0,1,28.0,3,302,0,0,0,1
526,0,1,31.19,0,24,0,0,0,1
527,1,1,50.0,3,366,0,0,80,0
528,0,1,20.0,3,145,0,0,0,1
529,0,1,40.0,3,0,0,0,0,1
530,1,1,42.0,3,166,0,0,80,0
531,0,1,21.0,3,166,0,0,0,1
532,1,1,32.0,3,283,0,0,0,0
533,0,1,34.0,3,91,0,34,0,1
534,1,1,31.19,1,227,0,0,0,1
535,0,1,31.19,1,255,0,0,0,1
536,1,1,33.0,3,267,0,0,79,0
537,1,1,2.0,3,267,0,0,79,0
538,1,1,8.0,3,267,0,0,79,0
539,0,1,36.0,3,42,0,0,0,1
540,0,1,34.0,3,105,0,0,0,1
541,1,1,30.0,3,105,0,0,0,0
542,1,1,28.0,3,299,0,0,0,0
543,0,1,23.0,1,258,0,0,0,1
544,1,1,0.8333,3,80,0,0,89,1
545,1,1,25.0,3,80,0,0,89,0
546,1,1,3.0,3,80,0,0,89,1
547,1,1,50.0,3,214,0,0,0,0
548,0,1,31.19,3,0,0,0,0,1
549,1,1,21.0,3,143,0,0,80,0
550,0,1,31.19,3,194,0,0,0,1
551,0,1,31.19,3,162,0,0,0,1
552,1,1,25.0,3,90,0,0,80,0
553,1,1,18.0,3,120,0,0,0,0
554,1,1,20.0,3,83,0,0,79,0
555,1,1,30.0,3,121,0,0,0,0
556,0,1,59.0,3,288,0,0,0,1
557,1,1,30.0,2,149,0,0,82,0
558,0,1,35.0,3,79,0,0,0,1
559,0,1,22.0,3,244,0,0,0,1
560,1,1,31.19,3,0,0,0,0,0
561,0,1,25.0,3,84,0,0,0,1
562,0,1,41.0,1,238,0,0,0,1
563,0,1,25.0,3,62,0,0,73,1
564,0,1,14.0,3,294,0,0,0,1
565,1,1,50.0,3,170,0,0,95,0
566,0,1,22.0,3,0,0,0,0,1
567,1,1,31.19,3,76,0,0,95,0
568,1,1,27.0,3,22,48,37,86,0
569,0,1,29.0,3,269,0,0,0,1
570,0,1,27.0,3,269,0,0,0,0
571,0,1,30.0,3,20,0,0,0,1
572,0,1,22.0,3,6,0,0,13,1
573,1,1,35.0,3,221,0,0,0,0
574,0,1,30.0,3,44,0,0,0,1
575,1,1,28.0,3,44,0,0,80,0
576,0,1,23.0,3,0,0,0,0,1
577,0,1,31.19,3,24,0,0,0,1
578,1,1,12.0,3,2,0,0,95,0
579,1,1,40.0,3,2,0,0,95,0
580,1,1,36.0,3,111,48,0,0,0
581,0,1,28.0,3,47,0,0,54,1
582,1,1,32.0,3,47,0,0,0,0
583,1,1,29.0,3,80,0,0,0,0
584,1,1,4.0,3,80,0,0,0,0
585,1,1,2.0,3,80,0,0,0,1
586,1,1,31.19,3,37,0,0,0,0
587,1,1,31.19,3,37,0,0,0,0
588,0,1,36.0,3,37,0,0,0,1
589,1,1,33.0,3,37,0,0,0,0
590,0,1,31.19,3,144,0,0,0,1
591,0,1,31.19,3,0,0,0,0,1
592,0,1,31.19,0,0,0,0,0,1
593,1,1,32.0,3,213,0,0,95,1
594,1,1,31.19,3,222,0,0,0,0
595,1,1,31.19,3,152,0,0,83,1
596,1,1,26.0,3,369,0,0,95,0
597,0,1,31.19,3,255,0,0,0,0
598,0,1,30.0,3,54,0,32,0,1
599,1,1,24.0,3,205,52,0,79,0
600,0,1,31.19,1,0,1,41,0,1
601,0,1,18.0,3,0,53,0,55,1
602,0,2,42.0,3,0,0,0,0,1
603,0,2,13.0,3,103,0,0,0,1
604,0,2,16.0,3,103,0,0,30,1
605,1,2,35.0,3,103,0,0,96,0
606,1,2,16.0,3,248,0,0,86,0
607,1,2,25.0,3,264,0,0,96,1
608,1,2,18.0,1,138,0,0,0,0
609,1,2,20.0,3,335,0,0,85,1
610,0,2,30.0,3,8,0,40,69,1
611,0,2,26.0,3,35,0,0,2,1
612,0,2,40.0,3,322,0,0,0,0
613,0,2,24.0,3,0,0,0,0,1
614,0,2,41.0,3,122,0,0,0,1
615,1,2,18.0,3,215,0,39,82,0
616,1,2,0.8333,3,215,0,39,79,1
617,0,2,23.0,3,115,0,0,0,1
618,0,2,20.0,3,285,0,0,0,1
619,0,2,25.0,3,7,0,0,71,1
620,0,2,35.0,3,217,0,0,0,1
621,0,2,17.0,3,363,0,0,44,1
622,0,2,32.0,3,30,0,0,45,1
623,0,2,20.0,3,253,0,0,74,1
624,0,2,39.0,3,325,0,0,0,1
625,0,2,39.0,3,325,0,0,0,0
626,0,2,6.0,3,325,0,0,0,0
627,0,2,2.0,3,325,0,0,0,0
628,1,2,17.0,3,281,0,0,0,0
629,0,2,38.0,3,346,0,0,0,0
630,0,2,9.0,3,325,0,0,0,0
631,0,2,26.0,3,154,0,0,0,1
632,0,2,11.0,3,325,0,0,0,0
